,Name,MC_USD_Billon,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
0,JPMorgan Chase,432.92,346.336,402.61560000000003,35910.714
1,Bank of America,231.52,185.216,215.3136,19204.584000000003
2,Industrial and Commercial Bank of China,194.56,155.64800000000002,180.94080000000002,16138.752
3,Agricultural Bank of China,160.68,128.544,149.4324,13328.406
4,HDFC Bank,157.91,126.328,146.8563,13098.6345
5,Wells Fargo,155.87,124.69600000000001,144.9591,12929.416500000001
6,HSBC Holdings PLC,148.90,119.12,138.477,12351.255000000001
7,Morgan Stanley,140.83,112.66400000000002,130.9719,11681.848500000002
8,China Construction Bank,139.82,111.856,130.0326,11598.069
9,Bank of China,136.81,109.44800000000001,127.23330000000001,11348.389500000001
